,Borough,Neighborhood,ID,Name
272,Queens,Queensboro Hill,50e9c4b1e4b0541e6c67a2ab,Hly Chinese Cuisine (三人百姓)
273,Queens,Queensboro Hill,4f844c6fe4b0059705cb042c,Lake Pavilion Restaurant
274,Queens,Queensboro Hill,4c2bfb622219c928f58ca548,Fukuoka Shabu Shabu
275,Queens,Queensboro Hill,559f3c6a498e9eb732ee3027,Deng Ji Noodle House 云南过桥米线
276,Queens,Queensboro Hill,4c56000b3e2220a163eb3ea5,88 Canteen
277,Queens,Queensboro Hill,4d93dd049892a1cd99799569,Yi Lan Halal Restaurant
278,Queens,Queensboro Hill,52019f6b498edfb499f84202,Ke Zhang
279,Queens,Queensboro Hill,4c57532f6418a593382a7f0e,Northport Lin's
280,Queens,Queensboro Hill,517d47f1e4b04f1b6e2f03f3,Good Fortune Restaurant
281,Queens,Queensboro Hill,4e4cdf99bd413c4cc66cdb80,Great Wall
282,Queens,Queensboro Hill,4b7b33ebf964a520a4572fe3,Lu Xiang Yuan
283,Queens,Hillcrest,4bd8e0dae914a5930afa54fa,Chef's Garden
284,Queens,Ravenswood,4ae78dbff964a52056ac21e3,Fatima's Halal Kitchen
285,Queens,Ravenswood,5cbb548166f3cd002cce8aeb,Bund On Broadway
286,Queens,Lindenwood,4bca326b511f95210b4bafc7,Danny's Szechuan Garden
287,Queens,Lindenwood,4b661f63f964a520e6142be3,New Carnival Chinese Food
288,Queens,Laurelton,4d85271f61676dcbf7b883e4,New Gookies
289,Queens,Laurelton,4e4e3ddcbd4101d0d7a5bb16,Wah Sing
290,Queens,Lefrak City,56316c73498ebdd0e0e53e95,Green Zenphony
291,Queens,Lefrak City,4c320798ed37a59388256b03,New Taste Chinese Restaurant
292,Queens,Belle Harbor,4c02eb2e39d476b0e9652fa7,East Meets West
293,Queens,Rockaway Park,4c02eb2e39d476b0e9652fa7,East Meets West
294,Queens,Bellaire,4c59c1d3d3aee21ea2066955,China King
295,Queens,Bellaire,4c649c7ac74c1b8d9316b283,Szechuan Kitchen
296,Queens,Bellaire,4c6c6656e13db60c8601d6b1,Golden Star Chinese
297,Staten Island,Rosebank,4bd36553caff95212bd4d4f0,Island Garden
298,Staten Island,West Brighton,4cf310ca7e0da1cd731e9b97,Green Garden Chinese Restaurant
299,Staten Island,Port Richmond,4c254b83a852c92818ade46c,Crown Palace
300,Staten Island,Port Richmond,4c93b85cf244b1f7c6621b1d,Fortune Cookie
301,Staten Island,Castleton Corners,4c53660372cf0f4768a0c4d2,Happy Fortune II
302,Staten Island,Castleton Corners,4be75c8f2468c928fc720243,Tack's Chinese Take Out
303,Staten Island,New Dorp,4c14210c7f7f2d7fae69e068,Crown Palace
304,Staten Island,New Dorp,4cb510469c7ba35db1088806,Panda Garden
305,Staten Island,Great Kills,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant
306,Staten Island,Eltingville,4c292b6eed0ac9b68a6561aa,Pacific Kitchen
307,Staten Island,Woodrow,4d8bc294bb88f04d0f659e3a,Islander Taste I
